"ccg","Period.Type","access_2021","access_2122","access_2021_1c","access_2122_1c","mhspend_perc_allocation_1718","mhspend_perc_allocation_1819","mhspend_perc_allocation_1920","mhspend_perc_allocation_2021","mhspend_perc_allocation_2122","mhspend_allages_1718","mhspend_allages_1819","mhspend_allages_1920","mhspend_allages_2021","mhspend_allages_2122","mhspend_cyp_1718","mhspend_cyp_1819","mhspend_cyp_1920","mhspend_cyp_2021","mhspend_cyp_2122","EDspend_1718","EDspend_1819","EDspend_1920","EDspend_2021","EDspend_2122","t4beddays_Q1_201718","t4beddays_Q2_201718","t4beddays_Q3_201718","t4beddays_Q4_201718","t4beddays_Q1_201819","t4beddays_Q2_201819","t4beddays_Q3_201819","t4beddays_Q4_201819","t4beddays_Q1_201920","t4beddays_Q2_201920","t4beddays_Q3_201920","t4beddays_Q4_201920","t4beddays_Q1_202021","t4beddays_Q2_202021","t4beddays_Q3_202021","t4beddays_Q4_202021","t4beddays_Q1_202122","t4beddays_Q2_202122","t4beddays_Q3_202122","t4beddays_Q4_202122","t4admissions_Q1_201718","t4admissions_Q2_201718","t4admissions_Q3_201718","t4admissions_Q4_201718","t4admissions_Q1_201819","t4admissions_Q2_201819","t4admissions_Q3_201819","t4admissions_Q4_201819","t4admissions_Q1_201920","t4admissions_Q2_201920","t4admissions_Q3_201920","t4admissions_Q4_201920","t4admissions_Q1_202021","t4admissions_Q2_202021","t4admissions_Q3_202021","t4admissions_Q4_202021","t4admissions_Q1_202122","t4admissions_Q2_202122","t4admissions_Q3_202122","t4admissions_Q4_202122","adultward_Q1_202021","adultward_Q2_202021","adultward_Q3_202021","adultward_Q4_202021","adultward_Q1_202122","adultward_Q2_202122","adultward_Q3_202122","adultward_Q4_202122","org_cd","no_referred_2122","avg_wait_days_2122","wait_0to4_weeks_2122","wait_0to4_weeks_perc_2122","wait_4to6_weeks_2122","wait_4to6_weeks_perc_2122","wait_6to8_weeks_2122","wait_6to8_weeks_perc_2122","wait_8to10_weeks_2122","wait_8to10_weeks_perc_2122","wait_10to12_weeks_2122","wait_10to12_weeks_perc_2122","wait_over12_weeks_2122","wait_over12_weeks_perc_2122","referrals_closed_number_2122","referrals_closed_2122","stillwaiting_nocontact_2122","stillwaiting_nocontact_perc_2122","stillwaiting_onecontact_2122","stillwaiting_onecontact_perc_2122","contacts_before_referral_2122","overall_score_2021","no_referred_2021","wait_0to4_weeks_2021","wait_4to6_weeks_2021","wait_6to8_weeks_2021","wait_8to10_weeks_2021","wait_10to12_weeks_2021","wait_over12_weeks_2021","referrals_closed_number_2021","stillwaiting_nocontact_2021","stillwaiting_onecontact_2021","contacts_before_referral_2021","wait_days_2021","avg_wait_days_2021","referrals_closed_2021","overall_score_1920","no_referred_1920","wait_0to4_weeks_1920","wait_4to6_weeks_1920","wait_6to8_weeks_1920","wait_8to10_weeks_1920","wait_10to12_weeks_1920","wait_over12_weeks_1920","referrals_closed_number_1920","stillwaiting_nocontact_1920","stillwaiting_onecontact_1920","contacts_before_referral_1920","wait_days_1920","avg_wait_days_1920","referrals_closed_1920","pop_2018","pop_2019","pop_2020","spc_202122","spc_202021","spc_201920","percreferred_202122","percreferred_202021","percreferred_201920","total_budget_202122","total_budget_202021","total_budget_201920","total_budget_201819","total_budget_201718","pbudget_camhs_2122","pbudget_camhs_2021","pbudget_camhs_1920","pbudget_camhs_1819","pbudget_camhs_1718","spc_2122_quintile","pbudget_2122_quintile","avgwait_2122_quintile","percreferred_2122_quintile","referralsclosed_2122_quintile","overall_score_2122"
"NHS Doncaster CCG","Rolling 12 month",1905,2235,2395,2875,0.173995220652845,0.184816018849874,0.191455919268263,0.188475092843939,0.193628503572481,79365000,83457000,90990000,93334000,95886000,3052000,4923000,5259000,2796000,2266000,173000,173000,182000,138000,216000,969,573,395,551,492,266,609,460,502,509,450,320,182,133,92,45,340,243,399,505,9,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,"02X",3035,20,930,30,125,4,70,2,50,1,25,0,40,1,1090,35,500,16,205,6,NA,16,2145,810,80,45,15,15,40,680,300,165,0,36465,17,32,17,2195,585,45,30,25,5,15,565,495,430,0,30730,14,26,66448,66918,67362,33.6391437308869,41.5070811436715,78.5887205236259,0.0450550755618895,0.0318428787743832,0.0328013389521504,495206016.835775,495206016.835775,475253000.000001,451568000.000001,456133218.500001,0.00457587331930878,0.00564613495180377,0.0110656850140872,0.0109020125429614,0.00669102770027699,1,1,5,1,3,11
"NHS Rotherham CCG","Rolling 12 month",2680,2865,3755,4190,0.139135705946743,0.154146655266927,0.152779765980579,0.144425795925759,0.16055316741254,52114391.748,56071000,58544747.98446,58918580.8444485,65497750.685,2898990.0847,3201208.03298094,3382787.26298844,2570600.23035241,2673441.0322,139002.37158,139000.000440838,139000.000463,94173.7151721177,78687.629109,196,195,189,342,728,449,275,315,326,466,405,315,115,231,297,354,298,348,300,161,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,"03L",4595,29,900,19,185,3,115,2,65,1,35,0,110,2,1475,32,1240,27,465,10,NA,21,2910,835,105,65,25,15,55,505,945,360,0,58200,20,17,19,2740,515,20,15,10,5,15,535,1225,405,0,32880,12,20,57196,57522,57453,46.5326620402764,44.7426632265053,58.8085821596683,0.0799784171409674,0.0506500966006997,0.0476339487500435,407950535.891354,407950535.891353,383197000,363751000,374557999.999999,0.00655334604809048,0.00630125469681213,0.00882780205217796,0.00880054771802947,0.00773976282631798,1,1,4,5,3,14
"NHS Sheffield CCG","Rolling 12 month",2935,2845,4295,4205,0.179822945457305,0.184057729204701,0.18804550994801,0.140978533031688,0.156672145552989,139713380.41,140895823.59074,151514472.86694,143485812.457626,159458533.23,4373745.02,5235204.76502,7520676.301257,8632623.32185721,8942887.929,428128,430403.694571079,376732.098743,364644.738898204,426174.6703,2283,1555,778,987,1186,976,1370,1718,1515,1439,1125,1277,1144,1167,1112,1137,1347,1292,1309,1064,15,6,7,12,14,12,14,14,13,NA,5,13,6,13,10,8,NA,6,10,6,NA,NA,NA,NA,NA,NA,NA,NA,"03N",5705,40,675,11,110,1,80,1,45,0,55,0,175,3,2575,45,1715,30,280,4,NA,12,3990,585,70,50,50,30,190,1325,1125,565,0,171570,43,33,12,4580,725,60,45,40,25,260,1360,1390,670,0,238160,52,30,117497,117736,118398,75.5324239345259,72.9119015680773,63.877457203039,0.0481849355563439,0.0336998935792834,0.0389005911530883,1017784831.29325,1017784831.29325,805733000,765497999.999999,776949682.670902,0.00878661938558932,0.00848177636022359,0.00933395591499541,0.00683895289735572,0.00562938001977744,3,3,3,1,1,11
"NHS Basildon and Brentwood CCG","Rolling 12 month",1440,1880,2110,2165,0.131491803930322,0.13802601333341,0.13620743856302,0.138101676214807,0.137422904434088,43004000,48157000,50260000,52309100,52052000,2698000,2865000,3408000,3405000,3922000,141000,103000,113000,101000,234000,536,604,673,414,485,517,639,508,769,627,914,663,398,468,470,465,808,577,777,675,16,13,10,NA,9,6,9,11,10,9,14,NA,10,NA,5,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"99E",3280,37,985,29,65,1,55,1,45,1,35,1,255,7,1165,35,465,14,210,6,NA,13,2300,890,40,20,5,0,5,735,350,250,0,16100,7,32,13,2435,510,115,65,50,20,80,1025,325,245,0,70615,29,42,59034,59980,60545,64.7782641010818,56.2391609546618,56.8189396465488,0.0541745808902469,0.0379882731852341,0.040596865621874,378772375.786641,378772375.786642,368995999.999999,348897999.999999,327047000,0.0103545037883365,0.0089895679243462,0.00923587247558241,0.00821156899724276,0.00824957880671586,2,4,3,2,3,14
"NHS Castle Point and Rochford CCG","Rolling 12 month",840,1020,1070,1255,0.108294940861869,0.0921565857021138,0.101814620350496,0.107317729478463,0.121745497722432,24987000,21524000,25092315,28139000,31922000,1192000,1588000,1562802,2335000,2060000,95000,95000,94172,99000,152000,554,394,193,286,488,332,194,185,391,424,436,586,561,663,448,393,202,81,119,141,14,NA,NA,6,6,NA,NA,5,6,NA,6,11,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"99F",1550,18,550,35,40,2,15,0,25,1,25,1,50,3,640,41,130,8,80,5,NA,13,1115,505,20,10,0,0,0,425,70,80,0,6690,6,38,10,1255,350,55,40,25,20,40,570,60,105,0,32630,26,45,33975,34322,34588,59.5582282872673,67.5089626460044,45.5335353417633,0.0448132300219729,0.032236613854516,0.0365654682128081,262202714.656267,262202714.656268,246450999.999999,233559000,230731000.000001,0.00785651667527755,0.00890532351299659,0.00634122807373476,0.00679913854743341,0.00516618919867723,1,1,5,1,2,10
"NHS Mid Essex CCG","Rolling 12 month",2270,2805,2950,3535,0.119731263755357,0.118278722508554,0.122765113649399,0.0913371409775652,0.0960941879895536,51682000,54719640.2303,59930000,63596000,66908225,2561000,2933910,3311000,4128000,3643909.7533,188000,187395,192000,0,298446.86904,1131,1304,892,1125,1048,704,502,682,535,681,756,743,381,566,793,531,630,592,589,893,13,9,12,13,9,7,5,10,6,11,8,6,5,8,5,NA,NA,5,NA,NA,NA,NA,NA,NA,25,NA,NA,20,"06Q",3705,14,1430,38,85,2,50,1,40,1,35,0,150,4,1365,36,285,7,205,5,65,9,2580,1190,25,25,25,35,20,895,185,175,0,23220,9,35,10,2890,780,100,100,90,75,140,1175,160,275,0,86700,30,41,82259,82683,83197,43.7985715025782,49.6171736961669,40.0445073352442,0.0445328557520103,0.0310107335601043,0.0349527714282259,696277541.855847,696277541.855846,488168000.000002,462633000.000001,431650000.000001,0.00523341560548913,0.00592867032447621,0.00678250110617654,0.00634176550310936,0.00593304760801574,1,1,5,1,2,10
"NHS Southend CCG","Rolling 12 month",1245,1405,1795,1800,0.150545955507177,0.154086030248821,0.159413781965007,0.164879837775977,0.174892093142903,35406000,37899000,41455554,45255858,48004000,1356000,1691000,1757534,1969829,2308000,1e+05,1e+05,1e+05,170982,151000,461,445,244,88,233,117,420,418,487,397,504,487,187,358,518,381,579,416,503,375,11,10,NA,5,NA,NA,5,6,5,NA,6,6,NA,5,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"99G",2020,20,750,37,50,2,40,1,40,1,40,1,60,3,810,39,130,6,95,4,NA,12,1585,675,40,20,20,15,15,480,115,205,0,15850,10,30,9,1595,380,35,20,35,45,105,645,100,225,0,57420,36,40,39540,39738,39736,58.0833501107308,49.5729061807932,44.2280436861442,0.050835514395007,0.0398882625327159,0.0401379032663949,274477817.363512,274477817.363511,260050000,245960000,235184000.000001,0.0084086940874473,0.00717664188283459,0.00675844645260528,0.00687510164254351,0.0057656983468263,1,2,5,2,2,12
"NHS Thurrock CCG","Rolling 12 month",1180,1350,1605,1630,0.121024103886543,0.115732035715973,0.121890108418162,0.124478795212436,0.128405402853434,25008213.732,24497000,27363354.21901,29049161.6702155,29965499.75,1112955,1556000,1927567.3062,2073404.43920916,2300779.8088,185000,82000,117874.47855,297875.0142354,346512.07579,278,196,309,567,532,297,193,164,168,127,191,147,115,437,257,411,72,147,NA,24,NA,NA,7,6,6,NA,NA,5,NA,NA,5,NA,6,NA,5,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,"07G",2095,17,705,33,95,4,35,1,25,1,20,0,25,1,650,31,460,22,80,3,NA,11,1455,655,30,15,10,5,40,410,160,135,0,20370,14,28,11,1665,320,25,15,15,35,95,745,230,180,0,59940,36,45,43762,44650,45381,50.6991870782927,45.6888221768837,43.170600362822,0.0461646944756616,0.032061876115555,0.0372900335946249,233366346.618635,233366346.618636,224492000,211670000,206638288.811,0.00985908997649909,0.00888476196011883,0.00858635187979973,0.00735106533755374,0.00538600569334927,1,3,5,1,3,13
"NHS Birmingham and Solihull CCG","Rolling 12 month",8610,9530,12935,14310,0.159378429012734,0.170067707237371,0.173556062539474,0.158402873695933,0.167703031668178,258929296.459,274792000,296230000,313363769.6371,331762000,22850890.1069,23696000,21752000,24684523.4084,26483000,1486034.37547,1453000,1514000,1633478,1859000,2589,2759,3062,3253,2792,2781,2657,2684,3097,2752,3397,3061,2460,2516,2564,2398,2269,1552,2076,2410,32,25,26,27,32,23,22,25,23,22,23,15,23,19,20,13,18,13,16,22,NA,5,NA,NA,NA,NA,NA,NA,"15E",17380,36,2795,16,420,2,325,1,235,1,125,0,550,3,7675,44,3720,21,1530,8,5,17,12455,2500,420,260,195,125,360,4225,2450,1915,0,373650,30,34,17,12450,2300,305,250,160,135,665,5365,2130,1140,0,498000,40,43,288314,288375,288342,91.8457942304624,85.6084906409749,75.4295622019939,0.0602756448939107,0.0431952334380701,0.0431729518855657,1978270736.67001,1978270736.67001,1706826000,1615780000,1624619454.8593,0.013386944218049,0.0124778287171912,0.0127441227166683,0.014665362858805,0.0140653800731932,5,5,3,3,1,17
"NHS Newcastle Gateshead CCG","Rolling 12 month",4885,4845,6270,6365,0.156160865819549,0.16627523393416,0.171360210617397,0.149363688953389,0.156349414341305,114342235.24,121512444.481978,131846431.011342,139114111.877582,145620465.53,8181487.9833,8694097.8526,8040665.6832,8407856.2716,8475538.6424,285589.7976,288666.39005,304761.70575,313295.03351,317305.88557,1019,907,967,572,698,643,468,611,571,576,583,564,482,595,469,460,91,92,132,180,6,6,9,6,9,5,NA,10,5,8,7,8,6,6,9,10,5,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,10,"13T",7035,57,935,13,165,2,130,1,100,1,70,0,605,8,1985,28,2450,34,590,8,NA,17,4400,1015,160,145,110,100,290,785,1125,665,0,176000,40,18,19,4520,930,95,80,115,110,595,865,855,875,0,257640,57,19,97661,97838,98123,86.3766766446195,85.6869059405033,82.1834633087348,0.0716957288301418,0.0448416783017234,0.046198818454997,931378388.230581,931378388.230586,769411000,730790999.999996,732207999.999998,0.00909999496391762,0.00902732592665488,0.0104504168554908,0.0118968321347691,0.0111737211056148,4,3,1,4,4,16
"NHS North Cumbria CCG","Rolling 12 month",2590,2705,3430,3555,0.133750050915816,0.128734367832407,0.128021902566308,0.106668450186496,0.115420769362051,59453000,58957508.31115,61484054.9703,65641970.00005,71028000,4094778.0734,3737272.3535,4204216.3294,5259670.6643,6210262.7,0,270000,227748.52633,239191.51897,244082.8,491,412,354,500,535,450,545,593,601,386,471,437,177,215,91,56,91,92,139,90,NA,NA,NA,6,12,10,6,5,10,6,7,9,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01H",4855,55,660,13,95,1,75,1,85,1,55,1,350,7,2470,50,900,18,165,3,NA,16,3290,710,185,120,80,75,165,1050,480,425,0,115150,35,32,15,3570,385,45,45,45,55,210,1120,900,765,0,196350,55,31,60018,59996,60041,103.433698639263,87.6013168384937,70.074943819588,0.0808614113688979,0.0547958894755251,0.0595039669311287,615383179.237005,615383179.237005,480261999.999998,457977999.999999,444508242.000001,0.0100917004389036,0.00854698477592661,0.00875400579142221,0.00816037528767759,0.00921192834350187,5,3,1,5,1,15
"NHS North Tyneside CCG","Rolling 12 month",2160,2275,2980,2935,0.141882831128274,0.150246195030794,0.146721670061455,0.156694483700418,0.165029824645555,42343866.829,48383181.2009865,49680984.5344992,53420799.861966,56262511.771,2610294.3112,2697313.9868,2984190.6858,3260752.17166,3045154.4769,208380.3672,271692.81308,243439.317823859,209678.76226,191474.46859,284,330,229,590,364,324,379,325,329,256,112,254,204,163,73,130,NA,NA,252,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,5,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"99C",2445,43,355,14,60,2,65,2,35,1,30,1,110,4,635,25,985,40,165,6,NA,15,1905,405,85,55,40,25,115,430,455,295,0,80010,42,23,17,2440,310,95,60,60,45,165,590,805,305,0,136640,56,24,41360,41851,42017,72.4743431682414,77.6055447000024,71.3051225968316,0.0581907323226313,0.0453387914415594,0.0583020716350864,340923296.088077,340923296.088077,338607000.000001,322026000,298442500.000001,0.00893208094560158,0.00956447449932429,0.00881313937928039,0.00837607518274922,0.00874638937550782,3,3,2,3,4,15
"NHS Northumberland CCG","Rolling 12 month",3970,4275,4490,4730,0.199898078128386,0.179862430425638,0.176997636366968,0.174228662243232,0.227666422871354,85316000,84108528.75265,86940000,90960000,118858387.35,3362000,4166450.5018,4449000,4484000,5378305.7238,295000,339482.96861,421000,427000,610840.60906,821,929,772,566,201,201,210,233,162,147,154,76,NA,20,79,127,NA,NA,64,NA,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00L",4140,34,755,18,330,7,360,8,215,5,95,2,50,1,1505,36,615,14,220,5,NA,18,3000,1115,305,150,40,15,10,745,350,270,0,63000,21,25,17,2390,615,330,305,115,40,30,610,215,125,0,74090,31,26,59011,59050,58801,91.4662288702573,76.2572065100934,75.3429297205758,0.0704069658679274,0.0510195404840054,0.0404741744284505,522072538.633255,522072538.633255,491192999.999999,467627000.000001,426797500.000001,0.0103018360971063,0.00858884478340647,0.00905753950076651,0.00890977317776773,0.00787727200838804,5,4,4,4,2,19
"NHS South Tyneside CCG","Rolling 12 month",2545,3215,3090,3850,0.152740642521971,0.169941499932162,0.174579000719925,0.171280773349848,0.177341223389137,38409689.375,42587000,45995456.424675,48663145.546794,50385000,3411606.882,3522000,3627811.6794,4103854.815,4113000,102394.2624,102000,101970.57248,38682.814324,74000,232,425,349,171,91,91,71,90,163,211,233,147,237,344,202,150,NA,NA,145,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00N",3480,54,410,11,230,6,215,6,140,4,105,2,280,8,790,22,795,22,515,14,NA,20,2565,335,160,115,95,55,280,455,780,290,0,146205,57,18,21,2355,250,60,70,50,45,330,430,910,210,0,176625,75,18,29920,30168,30255,135.944471988101,135.642201784829,120.253635620525,0.115022310361924,0.0847793753098661,0.0780628480509149,284113298.85461,284113298.854609,263465000,250598000,251470000,0.0144766190691579,0.0144444305547981,0.0137696152407341,0.014054381918451,0.0135666555931125,5,5,1,5,5,21
"NHS Sunderland CCG","Rolling 12 month",3990,4115,4820,5045,0.151446862993359,0.168482032198728,0.172064394479804,0.16483469972944,0.178280509101043,73086000,75474559,80805053,81488123.4576148,88135229.776,3937000,5028957.67929068,5737267.39008258,5936887.48028159,6282148.1058,211000,210897.122252967,217870.558,263460.140971331,268650.93562,921,1034,834,1392,856,571,589,447,237,201,324,477,192,275,332,240,NA,NA,NA,NA,9,NA,9,6,NA,8,NA,NA,NA,7,8,NA,5,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00P",5415,80,500,9,130,2,100,1,75,1,70,1,695,12,1710,31,1495,27,635,11,NA,17,3855,550,140,115,140,165,510,1020,820,400,0,212025,55,26,19,4490,650,80,100,125,115,525,1100,1270,525,0,323280,72,24,54563,54849,54965,114.293606946239,108.01214373295,104.60113019531,0.098517238242518,0.0701355407986901,0.0818611095917884,494362677.223723,494362677.223725,469621000,447968000.000001,482585103.154001,0.0127075695541575,0.0120091741423976,0.0122168033160412,0.0112261538308332,0.0081581465616514,5,5,1,5,3,19
"NHS Derby and Derbyshire CCG","Rolling 12 month",7460,9065,10560,12335,0.139759415887563,0.135287569469124,0.132911393271466,0.122887951230488,0.131962819875824,188014839.737,186409630.357408,193077988.600379,211189431.794809,226785072.65,8658000,10965976.8591976,15958917.0548135,13523999.0691925,14493584.515,641000,695246.5117,762745.71793,1013721.88850444,1018685.4379,1856,1481,1673,1628,2035,1781,1335,1361,1296,1366,1601,1643,1328,1702,1977,2198,1810,1803,1765,1931,14,17,14,20,28,15,12,12,17,13,13,14,13,12,23,16,11,12,10,11,NA,NA,NA,NA,NA,NA,90,30,"15M",13670,44,2595,18,385,2,285,2,180,1,170,1,980,7,3475,25,3645,26,1925,14,30,15,8615,1805,370,210,195,155,640,1480,2210,1540,5,387675,45,17,15,8305,1615,205,150,150,115,655,1650,2345,1425,0,406945,49,20,206431,207451,207752,69.763874788209,65.0968417593694,76.9286099118033,0.0657996072239978,0.0414677115021757,0.0400335500913469,1718552792.85031,1718552792.85032,1452681999.99999,1377877000,1345274939.38769,0.00843359865073543,0.00786941147543228,0.0109858296962539,0.00795860360481931,0.00643585912924294,3,2,2,3,5,15
"NHS Ipswich and East Suffolk CCG","Rolling 12 month",2835,3800,4365,5780,0.151147281601212,0.154140692461663,0.12990532758249,0.148355744106766,0.158275453285161,72783297.474,74543672,66266915.990397,78034234.33518,83251942.05,5096041.618,6102264.3038,5677967.7621,5470329.2082,5498576.5654,364930.29668,368000,428793.56158,446931.06559,581581.28095,728,575,711,841,456,410,604,1086,1140,925,801,744,673,413,739,968,452,298,483,353,14,5,8,6,6,NA,12,12,8,13,7,5,7,6,7,9,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,5,"06L",5760,53,860,14,115,1,80,1,65,1,60,1,405,7,2100,36,1625,28,455,7,NA,20,4275,1130,95,70,30,20,140,960,1300,530,0,102600,24,22,18,3930,1160,170,155,160,70,95,1345,465,310,0,102180,26,34,82650,82917,83072,66.1904921682396,65.8504575332242,68.4777278736568,0.0693374422187981,0.0514613828967643,0.0473967943847462,525994020.690037,525994020.690036,510117000,483608000,481538911.603002,0.0104536864472082,0.010399983636741,0.0111307166044261,0.0126182038010124,0.0105828241398721,2,4,2,4,2,14
"NHS North East Essex CCG","Rolling 12 month",2485,3120,3345,3915,0.109128823914581,0.114824185034933,0.118637271041126,0.0913767460992184,0.095667431135127,51150000,53795475.1614212,58956910.4811588,63982836.9463975,66987214.02,3283000,3837094.50587638,4081383,4266195.62201998,4380880.0532,187000,186907,191766,317438,307418,1705,1049,1030,748,565,824,867,657,769,647,594,1034,867,695,669,445,504,449,474,685,29,9,12,NA,9,8,5,8,8,5,7,10,5,6,8,5,NA,6,NA,5,NA,NA,10,NA,NA,30,NA,5,"06T",4385,20,1740,39,120,2,85,1,90,2,105,2,145,3,1555,35,255,5,290,6,NA,14,2935,1490,55,45,35,25,25,745,140,370,0,26415,9,25,15,3335,1015,80,70,90,50,135,1310,190,390,0,80040,24,39,67018,67286,68010,64.4152338362006,62.7289460670487,60.6572392473917,0.0644758123805323,0.0431554183208352,0.0495645453734804,700209185.353611,700209185.353611,496951000.000002,468503000,468712097.915001,0.00625653039810899,0.00609274444159929,0.00821284794677943,0.0081901172583236,0.00700429968546568,2,1,5,3,3,14
"NHS West Suffolk CCG","Rolling 12 month",1670,2285,2015,2965,0.127385138936604,0.130726387688388,0.111374126278265,0.122921155410271,0.130726481072019,39006280.401,40230000,36179662.1732418,41136900.06479,43749037.094,2803446.0351,3827681.9162,3052263.2384,2898686.6101,2798304.9815,194102.40162,194000,227738.59441,234545.98774,308379.34104,669,394,487,595,553,484,582,524,407,360,466,459,179,327,283,291,315,359,287,365,NA,7,9,NA,NA,5,7,NA,NA,NA,5,NA,NA,6,NA,NA,6,NA,NA,NA,NA,NA,NA,65,90,110,NA,NA,"07K",3360,55,475,14,65,1,40,1,25,0,25,0,240,7,1205,35,1000,29,285,8,NA,17,2320,555,65,40,35,15,75,555,815,165,0,60320,26,24,17,2395,615,115,110,120,30,55,830,310,205,0,69455,29,35,47346,48058,47279,59.1870594026947,61.3102352016752,63.5120737109326,0.0710674929672793,0.0490704118107405,0.0498356152981814,334660863.929306,334660863.929308,324848000,307742000.000001,306207464.4391,0.00836161404905449,0.0086615643552283,0.00939597361966213,0.0124379574975141,0.00915538110814918,1,2,1,4,3,11
"NHS Devon CCG","Rolling 12 month",8525,8575,12000,12140,0.139759415887563,0.156464243482065,0.163557318627252,0.150289985745386,0.15935740218723,259609836.69,250886033.424674,276489067.534448,303593751.550863,321910414.24,24133608.091,14605266.697302,15303616.2702391,15986523.5773392,16631353.315,1650807.993404,1535108.20037931,1933924.62195625,1938760.18605616,2530888.7398,1455,1921,1846,2104,2156,2272,2494,2476,2526,2350,2996,2826,2115,2064,1632,1584,1298,1011,1123,1010,30,18,20,25,30,20,24,18,22,23,27,23,24,13,12,9,5,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,"15N",13750,51,1955,14,380,2,280,2,210,1,180,1,880,6,3465,25,4860,35,1550,11,NA,16,10265,2090,420,300,185,130,690,1125,3405,1910,10,420865,41,11,16,9660,1740,250,240,275,200,930,1425,2955,1640,0,511980,53,15,223853,225331,226851,73.3139960370463,70.47147060114,67.9161600944349,0.0606124725039784,0.0452499658366064,0.0428702664080841,2020053099.64695,2020053099.64695,1690472000,1603472000,1857548094.64042,0.00823312680142254,0.00791391255018653,0.00905286586837232,0.00910852618399447,0.0129921847841424,3,2,2,3,5,15
"NHS East Leicestershire and Rutland CCG","Rolling 12 month",2215,2280,2935,3325,0.118277661282835,0.141924541406519,0.147311846862402,0.142738093339475,0.146654959144816,44187479.51,53008106.5926277,58035417.1254523,59687957.1966897,61325850.159,2203561.3698,2402218.35607131,2663956.47496317,3466855.9830927,3453943.1495,406620.00596,165025.886064561,194781.949062882,282817.322683847,423675.52188,334,447,829,856,850,574,660,702,1102,880,731,572,370,366,211,316,417,260,259,209,NA,11,10,10,9,NA,5,8,7,NA,7,7,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"03W",3215,15,1180,36,40,1,20,0,25,0,20,0,85,2,935,29,535,16,340,10,40,14,2400,940,30,20,15,20,45,350,560,350,65,21600,9,15,11,2340,530,90,50,60,40,135,515,540,370,0,88920,38,22,68476,69178,69736,49.5288394731559,49.7140068700915,38.5087235098322,0.0461024435012045,0.0344155099231387,0.0338257827633063,418164176.081104,418164176.081107,393962999.999999,373494999.999999,373591082.464299,0.00825977773100797,0.00829065754886729,0.00676194585522797,0.00643172828571016,0.00589832432633233,1,2,5,1,4,13
"NHS Leicester City CCG","Rolling 12 month",1905,2770,2450,4270,0.171355329764612,0.177321584646823,0.175553086893767,0.144393316660242,0.156616238860501,77479474.622,79579090.0441399,83359978.88681,93742136.0602408,101677426.02,2254000,3596075.55866439,5710819.62903456,6418458.9785035,7055572.6138,380000,341711.11334079,433401.527829426,522582.338175098,782856.37792,560,399,430,612,387,433,684,675,556,400,764,863,672,566,412,282,842,539,517,614,9,6,7,7,9,5,14,10,6,9,12,12,NA,5,NA,NA,9,6,NA,7,NA,NA,NA,NA,NA,20,NA,NA,"04C",4005,13,2155,53,80,2,35,0,35,0,35,0,75,1,875,21,435,10,260,6,25,17,2110,775,40,15,20,15,50,400,495,270,30,27430,13,19,10,2410,545,95,65,70,30,145,690,455,300,10,91580,38,29,83994,84082,84069,83.9259728770415,76.3475119069277,67.919645453659,0.0476394390322235,0.0250984310506846,0.0286624961347256,649213815.628433,649213815.628437,474841999.999999,448784000.000001,452156782.8,0.0108678719459632,0.00988651015119026,0.0120267786527615,0.00801293174147114,0.00498499654487546,4,4,5,1,5,19
