ccg_nm,,,org_cd,pop_2019,pop_2020,region,access_2021,access_2122,mhspend_allages_1718,mhspend_allages_1819,mhspend_allages_1920,mhspend_allages_2021,mhspend_allages_2122,mhspend_perc_allocation_1718,mhspend_perc_allocation_1819,mhspend_perc_allocation_1920,mhspend_perc_allocation_2021,mhspend_perc_allocation_2122,mhspend_cyp_1718,mhspend_cyp_1819,mhspend_cyp_1920,mhspend_cyp_2021,mhspend_cyp_2122,EDspend_1718,EDspend_1819,EDspend_1920,EDspend_2021,EDspend_2122,number_referred,avg_wait_2122,perc_closed_2122,tier4_beddays,tier4_admissions,,Organisation Name,Total number of People,"Average Waiting Time (for People with Two Contacts, Days)",Number of People Waiting Between 0 and 4 Weeks,% Waiting Between 0 and 4 Weeks,Number of People Waiting Between 4 and 6 Weeks,% Waiting Between 4 and 6 Weeks,Number of People Waiting Between 6 and 8 Weeks,% Waiting Between 6 and 8 Weeks,Number of People Waiting Between 8 and 10 Weeks,% Waiting Between 8 and 10 Weeks,Number of People Waiting Between 10 and 12 Weeks,% Waiting Between 10 and 12 Weeks,Number of People Waiting Over 12 Weeks,% Waiting Over 12 Weeks,Referral Closed Before Treatment ,% Referral Closed Before Treatment ,"Number of People Still Waiting, no contact","% Still Waiting, no contact","Number of People Still Waiting, one contact","% Still Waiting, one contact",Contacts Before Referral
NHS BRIGHTON AND HOVE CCG,NHS BRIGHTON AND HOVE CCG,Match,09D,50267,50332,South East,2075,2065,73396228.36,68177813.92,69397481.14,72440290.59,76736901.54,0.192082115,0.181270942,0.175387892,0.182588008,0.19341775,3990170.6,4228746.074,4730161.045,5828057.653,6202647.98,241893,235590.0483,250955.932,254591.7662,260900.1532,2885,72,23,717,6,,"NHS HEYWOOD, MIDDLETON AND ROCHDALE CCG",4290,33,1475,34,170,3,85,2,65,1,55,1,270,6,1330,31,450,10,385,8,*
NHS BOLTON CCG,NHS BOLTON CCG,Match,00T,68385,68931,North West,2295,2655,47874000,53598786.97,53076366.4,56440416,60142438.42,0.113811745,0.129885444,0.122072725,0.122721367,0.130770869,3503000,3378000,4015000,4372159.399,5374917.729,269000,269000,277000,424421.67,261007.2058,4105,60,31,260,5,,NHS HULL CCG,4725,34,685,14,140,3,135,2,95,2,45,0,115,2,1925,40,1360,28,220,4,*
NHS BURY CCG,NHS BURY CCG,Match,00V,43289,43180,North West,1875,1725,35588000,35752821.05,38502000,43062954,49227432.8,0.132985064,0.135991408,0.139127984,0.137920077,0.15766339,1996000,2854271,3665786,4054437,4560925.284,112000,144953,148605,173110,199339,3520,33,49,204,2,,NHS IPSWICH AND EAST SUFFOLK CCG,5760,53,860,14,115,1,80,1,65,1,60,1,405,7,2100,36,1625,28,455,7,*
"NHS HEYWOOD, MIDDLETON AND ROCHDALE CCG","NHS HEYWOOD, MIDDLETON AND ROCHDALE CCG",Match,01D,53299,53846,North West,3200,3840,41599000,40490000,42458000,45674068.43,48483553.53,0.124778633,0.12480504,0.124266105,0.124203377,0.131843325,3357000,3387000,3763000,5324863.021,5582975.86,137000,137000,145000,188797.9258,248919.0831,4290,33,31,1000,10,,NHS KENT AND MEDWAY CCG,27320,43,4390,16,825,3,445,1,300,1,230,0,1425,5,12805,46,4525,16,2375,8,*
NHS MANCHESTER CCG,NHS MANCHESTER CCG,Match,14L,122914,123872,North West,6765,5755,116050410.9,129830676.8,137761360.2,149250716.7,158579829.9,0.137361856,0.158779517,0.159060885,0.103966702,0.110465278,8205000,9304734.4,11076955.13,10448120.28,11895803.16,355000,365508,355500,429667,594000,11680,33,38,431,2,,NHS KERNOW CCG,5885,45,910,15,255,4,215,3,180,3,115,1,330,5,2220,37,1360,23,300,5,*
NHS OLDHAM CCG,NHS OLDHAM CCG,Match,00Y,59592,59450,North West,1880,2015,41855075.86,44219998.87,48847807.15,49552397.42,57054922.28,0.117929504,0.129428806,0.135393872,0.124658743,0.143532811,2759538.363,3030670.437,3298534.187,3750082.894,5186299.511,138138,157680,162944.5572,187586.634,220823.9851,3670,57,45,176,5,,NHS KIRKLEES CCG,6635,31,2450,36,190,2,115,1,85,1,80,1,485,7,930,14,1680,25,610,9,10
NHS SALFORD CCG,NHS SALFORD CCG,Match,01G,57452,58442,North West,2880,2130,51577000,55342000,60697000,64406200,67892796,0.125670664,0.13989171,0.144920027,0.183275443,0.193196964,2736000,3363000,5410000,6624000,7888534,728000,177000,161000,233000,298792,3560,29,35,659,6,,NHS KNOWSLEY CCG,2360,34,570,24,55,2,45,1,70,2,60,2,100,4,695,29,450,19,310,13,10
NHS STOCKPORT CCG,NHS STOCKPORT CCG,Match,01W,63518,63903,North West,2325,2260,47952000,30208000,51294000,57858549,64304730.52,0.115031367,0.073153308,0.117821359,0.122788187,0.13646836,3242000,3354000,2547000,3006950,3736132.493,170000,170000,179000,195370,252754.0085,3045,25,44,462,4,,NHS LEEDS CCG,9390,59,1220,12,290,3,195,2,165,1,115,1,690,7,1995,21,3405,36,1310,13,5
NHS TAMESIDE AND GLOSSOP CCG,NHS TAMESIDE AND GLOSSOP CCG,Match,01Y,57355,57652,North West,2160,2415,37611000,40273000,42375000,46612129.17,50753632.11,0.104054112,0.113350558,0.113451689,0.116898894,0.127285399,521000,2136000,2637000,3540080.453,4617737.403,144000,120000,123000,144276.0877,238342.4334,3825,40,26,424,2,,NHS LEICESTER CITY CCG,4005,13,2155,53,80,2,35,0,35,0,35,0,75,1,875,21,435,10,260,6,25
NHS TRAFFORD CCG,NHS TRAFFORD CCG,Match,02A,56511,56626,North West,1850,1720,32263000,32268655.95,35187000,37019845.5,40899223,0.100342114,0.104580594,0.108080464,0.103617432,0.114475693,2180000,2041417.658,2284000,2304219,3405764,167000,147570.3634,157000,209312,126300,3880,42,32,558,2,,NHS LINCOLNSHIRE CCG,8090,37,1385,17,550,6,495,6,265,3,135,1,270,3,3245,40,960,11,780,9,*
NHS WIGAN BOROUGH CCG,NHS WIGAN BOROUGH CCG,Match,02H,68916,69384,North West,2095,2090,53392864,48860757.84,51645251.48,55277809.55,58811102.88,0.111774202,0.105050692,0.10542386,0.107756268,0.114643923,3546000,2726281.162,3332600.934,3819804.075,4444821.19,269000,205844.0821,213720.2316,214292.6104,233099.6277,4860,35,46,486,7,,NHS LIVERPOOL CCG,9875,25,2920,29,355,3,270,2,160,1,110,1,400,4,2655,26,1950,19,760,7,300
NHS EAST RIDING OF YORKSHIRE CCG,NHS EAST RIDING OF YORKSHIRE CCG,Match,02Y,58816,59023,North East and Yorkshire,1510,1680,53613661.8,55625705.45,59015861.42,62398248.29,64351000,0.139187936,0.141964238,0.14320519,0.142025003,0.146469672,2919816.301,3062942.47,3287361.584,3731141.722,3721000,259470.0978,266500,276900.8288,277353.3252,279000,3360,28,43,296,1,,NHS MANCHESTER CCG,11680,33,2500,21,465,3,275,2,215,1,165,1,480,4,4460,38,1810,15,1310,11,*
NHS HULL CCG,NHS HULL CCG,Match,03F,57370,57585,North East and Yorkshire,1945,2435,56214186.6,60513964.83,63102938.45,65833505.87,70488000,0.140335828,0.150903503,0.149600385,0.123724194,0.132471618,3917120,2825721.226,3769038.828,4032905.614,4049000,155850,163845.3156,161247.0952,163706.0904,167000,4725,34,40,22,1,,NHS MID ESSEX CCG,3705,14,1430,38,85,2,50,1,40,1,35,0,150,4,1365,36,285,7,205,5,65
NHS NORTH EAST LINCOLNSHIRE CCG,NHS NORTH EAST LINCOLNSHIRE CCG,Match,03H,34518,34460,North East and Yorkshire,1180,1225,30675681.47,31959000,34551000,36805000,39754000,0.131585822,0.138958216,0.143014433,0.143882728,0.155411329,2880538,2764000,2882000,3211000,3301000,91000,93000,96000,96000,98000,2685,36,41,228,1,,NHS MORECAMBE BAY CCG,4400,50,825,18,95,2,60,1,45,1,45,0,355,8,1460,33,765,17,740,16,10
NHS NORTH LINCOLNSHIRE CCG,NHS NORTH LINCOLNSHIRE CCG,Match,03K,35638,35677,North East and Yorkshire,1230,1355,30063512.14,30964563.86,33948468.5,37186541.15,32085360.74,0.139119807,0.134157238,0.139906567,0.140050412,0.120838558,1637666.82,1595126.51,1623891.23,1951360.891,2339795.327,90000,90000,90000,92340,95367.7,1935,26,31,478,3,,NHS NEWCASTLE GATESHEAD CCG,7035,57,935,13,165,2,130,1,100,1,70,0,605,8,1985,28,2450,34,590,8,*
NHS VALE OF YORK CCG,NHS VALE OF YORK CCG,Match,03Q,66910,67144,North East and Yorkshire,3095,3080,67449630.93,68006952.22,71569483.16,76333824.74,78879521.4,0.178110181,0.164942912,0.164740005,0.15761436,0.162870724,2653243.142,3372061,3937338,4508871,4051787.554,232668.4682,165536,156164,157329,182876.138,4420,29,22,229,2,,NHS NORFOLK AND WAVENEY CCG,14985,50,1585,10,245,1,195,1,135,0,115,0,605,4,5435,36,5065,33,1610,10,*
NHS GLOUCESTERSHIRE CCG,NHS GLOUCESTERSHIRE CCG,Match,11M,128910,129562,South West,3940,5020,81786000,91660971.3,113546365.6,102068889.9,108556665.7,0.106493084,0.120359488,0.141043151,0.10998808,0.116979221,6629000,6291480.636,6537589.211,6867648.157,8417764.937,486000,709165.3683,949798.9413,1005194.433,1032135,7950,70,28,123,1,,NHS NORTH CENTRAL LONDON CCG,14360,42,2750,19,940,6,680,4,415,2,245,1,825,5,3715,25,3535,24,1250,8,5
NHS PORTSMOUTH CCG,NHS PORTSMOUTH CCG,Match,10R,43756,43756,South East,1445,1490,44176967,44165000,47792000,51082493.81,54694000,0.155043351,0.157199349,0.161442006,0.160992563,0.172374655,2630000,1987788.931,2323417.097,2517613.051,2685000,109000,108790,112947.2519,212713.9235,335000,2900,65,42,17,1,,NHS NORTH CUMBRIA CCG,4855,55,660,13,95,1,75,1,85,1,55,1,350,7,2470,50,900,18,165,3,*
NHS SOMERSET CCG,NHS SOMERSET CCG,Match,11X,111190,111293,South West,2290,2695,80471000,83525000,95840000,105366000,110709000,0.111506026,0.114360002,0.124020896,0.114383773,0.120184055,5375000,5390000,6228000,6932000,7463000,284000,384000,484000,547000,689000,6340,32,42,919,12,,NHS NORTH EAST ESSEX CCG,4385,20,1740,39,120,2,85,1,90,2,105,2,145,3,1555,35,255,5,290,6,*
NHS KERNOW CCG,NHS KERNOW CCG,Match,11N,108852,109293,South West,3375,4085,121447000,131335000,140363000,147039000,157072679.1,0.172604336,0.170002382,0.172144487,0.155553361,0.166168045,6206000,5838000,8694000,10968000,9810965.432,653000,722000,665000,709000,1091802.321,5885,45,37,606,2,,NHS NORTH EAST LINCOLNSHIRE CCG,2685,36,315,11,75,2,95,3,80,2,30,1,50,1,1110,41,745,27,175,6,*
NHS Berkshire West CCG,NHS Berkshire West CCG,Match,15A,113021,114075,South East,3780,4855,68716009.91,75432000,79952315.56,93748013.45,98878105.89,0.117926597,0.130422379,0.131084627,0.143481216,0.151332816,5212000,3746000,4385588.372,4956184,5337480.73,674000,2978000,2977427.082,3301055,3399155.828,8570,36,23,1123,10,,NHS NORTH EAST LONDON CCG,19895,31,6855,34,820,4,630,3,475,2,450,2,1190,5,4990,25,2730,13,1760,8,*
NHS Buckinghamshire CCG,NHS Buckinghamshire CCG,Match,14Y,126312,127411,South East,4575,4680,84587000,87482000,95072000,101205000,106438000,0.1369018,0.142736171,0.14674413,0.143615043,0.151040937,4386000,4976700,5049000,6417000,5853000,256000,256000,338000,427000,368000,7795,42,31,737,7,,NHS NORTH LINCOLNSHIRE CCG,1935,26,515,26,80,4,45,2,20,1,20,1,55,2,615,31,440,22,150,7,*
NHS OXFORDSHIRE CCG,NHS OXFORDSHIRE CCG,Match,10Q,142659,144435,South East,5570,5545,77313606,82019000,90395000,97585000,107719000,0.098430719,0.106111787,0.110773163,0.092510674,0.102117716,7070860,6498000,6775000,6987000,7240000,816353,828000,828000,851000,855000,7480,57,30,1537,5,,NHS NORTH STAFFORDSHIRE CCG,2645,31,680,25,130,4,75,2,55,2,40,1,125,4,1000,37,395,14,140,5,*
NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,Match,06H,196307,198120,East of England,6115,5840,127917000,133757000,140987007,149454000,159147000,0.128771269,0.129366558,0.129042569,0.103761913,0.110491504,9546000,9085000,9920115,10497000,10941000,612000,612000,628000,891000,900000,12705,44,30,1063,21,,NHS NORTH TYNESIDE CCG,2445,43,355,14,60,2,65,2,35,1,30,1,110,4,635,25,985,40,165,6,*
"NHS Bristol, North Somerset and South Gloucestershire CCG","NHS Bristol, North Somerset and South Gloucestershire CCG",Match,15C,197090,198154,South West,4135,4585,158623745.1,145406000,154554427,166370751.7,174650896,0.144305663,0.124064965,0.124593743,0.111531263,0.117082088,9725028.18,9534000,10857000,11566119.25,12356761.44,256074.46,458000,462266,480757,532961.5613,8115,36,45,897,8,,NHS NORTH WEST LONDON CCG,16310,44,3615,22,555,3,375,2,290,1,270,1,1395,8,5665,34,2805,17,1335,8,*
NHS DORSET CCG,NHS DORSET CCG,Match,11J,143436,144050,South West,4670,4725,159439895.7,166582000,182298000,197207183.4,210421273,0.148958018,0.158127702,0.164070727,0.152191039,0.162388771,9439532,8431000,8798000,10148887.68,10889227.28,1301000,995000,1201000,1234793.478,1356790.65,6245,48,44,180,2,,NHS NORTH YORKSHIRE CCG,4295,38,1065,24,80,1,60,1,60,1,50,1,350,8,1405,32,820,19,400,9,*
NHS CALDERDALE CCG,NHS CALDERDALE CCG,Match,02T,46118,45951,North East and Yorkshire,1375,1955,35108000,35452738.7,37651000,38914000,40840608.09,0.122442716,0.124206867,0.12518786,0.123537719,0.129653995,1752000,1755964.84,1853000,2352000,2226404.11,107000,107000,111000,111000,126775.8304,3235,26,39,766,2,,NHS NORTHAMPTONSHIRE CCG,6735,48,1370,20,315,4,275,4,230,3,155,2,625,9,880,13,2135,31,720,10,25
NHS Leeds CCG,NHS Leeds CCG,Match,15F,169422,170581,North East and Yorkshire,4765,6295,154044000,161277000,175199578.2,191771167.7,202883155.6,0.139759416,0.148408499,0.152855471,0.158923407,0.168132065,8695000,8884000,10057604.11,10223965.83,11036000,425000,425000,714893.0808,677031.9038,708000,9390,59,21,157,2,,NHS NORTHUMBERLAND CCG,4140,34,755,18,330,7,360,8,215,5,95,2,50,1,1505,36,615,14,220,5,*
NHS WAKEFIELD CCG,NHS WAKEFIELD CCG,Match,03R,73845,74986,North East and Yorkshire,3385,4665,71419000,74773431.55,79988000,82011000,86463000,0.135834069,0.146290438,0.148069988,0.095080392,0.100241869,4784000,7655000,8482000,9773000,10158000,193000,195000,196000,436000,442000,6785,24,21,*,*,,NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG,15615,56,2285,14,515,3,450,2,250,1,165,1,1040,6,4575,29,4430,28,1900,12,*
NHS HALTON CCG,NHS HALTON CCG,Match,01F,28770,28845,North West,755,765,24918089.6,25723286.29,27303750,28010000,30088000,0.127067232,0.127411753,0.12858263,0.124673956,0.133923242,1652671.751,1656893.125,1709000,1866000,2272000,113000,222000,229000,211000,222000,1470,25,46,76,2,,NHS OLDHAM CCG,3670,57,475,12,95,2,90,2,75,2,80,2,335,9,1670,45,355,9,495,13,*
NHS KNOWSLEY CCG,NHS KNOWSLEY CCG,Match,01J,33802,34437,North West,1030,1250,36304360.41,40505000,43439000,43805087.33,48772000,0.131742145,0.147319837,0.150579418,0.145668262,0.1621851,1461246,1720000,2224173.097,1863513.944,2064000,0,140000,143560.5377,174428.2328,303000,2360,34,29,492,3,,NHS OXFORDSHIRE CCG,7480,57,835,11,185,2,160,2,125,1,90,1,435,5,2260,30,2645,35,740,9,*
NHS LIVERPOOL CCG,NHS LIVERPOOL CCG,Match,99A,96052,96744,North West,5970,6345,116320000,117293000,124445000,125454000,132593849.7,0.143771962,0.146251171,0.146951158,0.097987289,0.10356395,6051000,6726000,7719000,8475000,8442194.255,312000,316000,492000,598000,636346.593,9875,25,26,111,1,,NHS PORTSMOUTH CCG,2900,65,250,8,50,1,55,1,40,1,40,1,190,6,1220,42,635,21,420,14,*
NHS SOUTH SEFTON CCG,NHS SOUTH SEFTON CCG,Match,01T,32578,32677,North West,1075,1235,23724906.4,25802622.9,29423022,29114278.22,33450000,0.098180374,0.105761458,0.115047379,0.103278015,0.11865826,2580550,2778034.6,2660000,2998000,2877000,260260,261716,277196,105000,107000,1815,48,31,416,4,,NHS ROTHERHAM CCG,4595,29,900,19,185,3,115,2,65,1,35,0,110,2,1475,32,1240,27,465,10,*
NHS SOUTHPORT AND FORMBY CCG,NHS SOUTHPORT AND FORMBY CCG,Match,01V,21479,21421,North West,705,790,20293860,22462510,23304090,23668916.69,25945076.02,0.117165357,0.122119344,0.120596616,0.108382997,0.118805822,894860,1088000,938000,1071000,1108000,204204,204000,82000,80000,81000,915,39,19,196,2,,NHS SALFORD CCG,3560,29,830,23,100,2,85,2,55,1,60,1,140,3,1255,35,625,17,410,11,*
NHS ST HELENS CCG,NHS ST HELENS CCG,Match,01X,36868,36893,North West,1555,1430,37966496.58,36496611.35,39848469.52,42283000,44832000,0.131740366,0.121066182,0.125513316,0.122018198,0.129373977,1780421.965,3434352.08,3666916.713,3024000,3249000,0,299271,181329.42,249000,285000,3205,24,48,220,3,,NHS SHEFFIELD CCG,5705,40,675,11,110,1,80,1,45,0,55,0,175,3,2575,45,1715,30,280,4,*
NHS WARRINGTON CCG,NHS WARRINGTON CCG,Match,02E,44391,44177,North West,1575,1695,33572000,35594298,37563938.67,44558000,52923000,0.119574757,0.125846054,0.125885357,0.134407675,0.15964041,2165000,2240000,2534000,3584000,3874000,170000,238000,268000,284000,289000,3205,22,46,699,2,,"NHS SHROPSHIRE, TELFORD AND WREKIN CCG",6710,31,1225,18,160,2,100,1,70,1,50,0,220,3,2675,39,1530,22,675,10,*
NHS WIRRAL CCG,NHS WIRRAL CCG,Match,12F,67508,67431,North West,3910,2560,67417000,69991176.48,77003264.4,79510187.18,84190760.36,0.133691557,0.135826075,0.142169497,0.135148289,0.143104143,4472000,5641790,5701454.398,6328951.66,6460565.096,479000,224450,226530,242406.904,245415.0049,5020,30,36,*,*,,NHS SOMERSET CCG,6340,32,1130,17,235,3,155,2,100,1,70,1,230,3,2720,42,1375,21,325,5,*
NHS Tees Valley CCG,NHS Tees Valley CCG,Match,16C,146833,147498,North East and Yorkshire,10175,10905,178839000,190924035.4,199465216.5,215655177.5,228159214.8,0.179320549,0.192370469,0.191111723,0.18314442,0.193763431,12888000,13978831.24,14772420.37,16772152.31,16644477.04,794000,810267.7512,931338.9025,993068.6185,1163171.378,12275,30,36,1379,9,,NHS SOUTH EAST LONDON CCG,17195,31,4245,24,435,2,255,1,190,1,130,0,670,3,4915,28,4260,24,2090,12,10
NHS Herefordshire and Worcestershire CCG,NHS Herefordshire and Worcestershire CCG,Match,18C,154908,155382,Midlands,4770,4995,119276000,122243280.4,130974381.5,135348921.6,142601689,0.12848775,0.12957214,0.129832376,0.109701319,0.115579742,7969000,8379191.378,9071095.931,9657054.964,10259538.81,419000,404074.2143,491858.4836,581758.1174,841540.2692,7595,66,34,1793,16,,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA CCG,2320,57,250,10,85,3,85,3,75,3,70,2,190,8,1095,47,345,14,125,5,*
NHS Norfolk and Waveney CCG,NHS Norfolk & Waveney CCG,,26A,194272,194694,East of England,6135,7690,206205158.2,190799976.6,173954467.6,192888165.4,207632850,0.157466222,0.142753982,0.123157006,0.113881402,0.122586681,8297888.5,22929566.96,24164477.25,25800095.4,27489933.12,1669190.666,915000,1968686,2178186.36,2656418.579,14985,50,36,1054,5,,NHS SOUTH SEFTON CCG,1815,48,365,20,55,3,50,2,35,1,20,0,135,7,580,31,370,20,205,11,*
NHS Cheshire CCG,NHS Cheshire CCG,Match,27D,145946,147246,North West,3985,2980,110340879.5,109366469.2,115020988.7,124824926.4,133861380.1,0.118520755,0.112987142,0.112832932,0.11081796,0.118840407,6523480.17,8428364.233,9174864.012,10672730.23,11926994.22,552045.06,518111.9915,773460.4803,524349.469,519988.6293,8090,53,38,714,6,,NHS SOUTH TYNESIDE CCG,3480,54,410,11,230,6,215,6,140,4,105,2,280,8,790,22,795,22,515,14,*
NHS Bradford District and Craven CCG,NHS Bradford District and Craven CCG,Match,36J,151731,151758,North East and Yorkshire,5660,7155,101481000,107804000,120775000,128434000,135332000,0.128131524,0.135203877,0.141252023,0.142169264,0.149804965,6866000,7353000,8828000,9046000,10639000,305000,311000,324000,335000,343000,8810,36,24,1763,44,,NHS SOUTH WEST LONDON CCG,17100,40,3435,20,775,4,500,2,290,1,185,1,900,5,5525,32,3215,18,2265,13,10
NHS South West London CCG,NHS South West London CCG,Match,36L,340658,343221,London,9955,11230,238373376.2,255990971.4,276811082.9,286506973.1,303903707.8,0.130268513,0.133765738,0.136873381,0.120575213,0.127896553,15473403.11,17549211.12,20409931.8,19598962.73,21354369.81,1615062.914,1801234.536,1912687.811,1434410.118,1651354.255,17100,40,32,451,5,,NHS SOUTHEND CCG,2020,20,750,37,50,2,40,1,40,1,40,1,60,3,810,39,130,6,95,4,*
NHS North Yorkshire CCG,NHS North Yorkshire CCG,Match,42D,81258,81370,North East and Yorkshire,3015,3055,81371264.96,88516938.63,86020992.47,93149992.98,98554521.17,0.15277173,0.161027136,0.148978349,0.132988189,0.140704114,4724207.275,4837084.722,3836241.476,4293769.643,4515463.027,224337.7177,225902.702,212534.1538,332905.1452,337221.8241,4295,38,32,909,4,,NHS SOUTHPORT AND FORMBY CCG,915,39,245,26,40,4,45,4,20,2,20,2,60,6,180,19,215,23,85,9,*
NHS Nottingham and Nottinghamshire CCG,NHS Nottingham and Nottinghamshire CCG,Match,52R,213118,213938,Midlands,10270,10775,204989955.8,216383142,230784565.7,232855912.8,247720000,0.151386999,0.162005871,0.163590561,0.14119909,0.150212371,8976517.621,10132217.93,10916351.06,12384812,13088000,959701.982,1022389.571,1167160.29,1009007.953,1025000,15615,56,29,1297,11,,NHS ST HELENS CCG,3205,24,635,19,65,2,25,0,20,0,30,0,65,1,1560,48,575,17,235,7,*
NHS West Sussex CCG,NHS West Sussex CCG,Match,70F,174444,175759,South East,4980,6395,119392000,131983766.5,147049478.9,159846847.7,169156149,0.109758248,0.114551244,0.120756055,0.116156494,0.122921319,7447764,9040840.15,9236931.741,10184129.92,9697582.866,469270,638540.343,721347.5427,880738.8481,911967.6681,9025,53,24,896,9,,NHS STAFFORD AND SURROUNDS CCG,1550,64,115,7,45,2,35,2,40,2,35,2,140,8,690,44,320,20,130,8,*
NHS Lincolnshire CCG,NHS Lincolnshire CCG,Match,71E,146412,147332,Midlands,4545,4675,142623247.6,148039089.7,156933648.6,171911999,182540049.2,0.142472279,0.147555844,0.14805997,0.137876835,0.146400742,7345796.6,7953569.827,8233083.733,7686071,7556087.387,175608,0,531451.1846,676086,684672,8090,37,40,1436,17,,NHS STOCKPORT CCG,3045,25,785,25,70,2,45,1,35,1,20,0,80,2,1365,44,380,12,255,8,*
NHS South East London CCG,NHS South East London CCG,Match,72Q,397064,398202,London,12340,13800,346842040,359324600.8,391224865.9,400871373.8,421390000,0.141839092,0.147166351,0.151141531,0.12335921,0.129673359,21343000,24273605.36,27219789.5,32415441.38,34845000,1222000,1308018.484,1442806.851,2099433.745,2143000,17195,31,28,1037,9,,NHS STOKE ON TRENT CCG,4200,25,1270,30,230,5,135,3,80,1,40,0,115,2,1585,37,480,11,265,6,*
NHS Northamptonshire CCG,NHS Northamptonshire CCG,Match,78H,167864,169287,Midlands,4480,5700,121943000,126504000,134983000,141647954.7,148472598.9,0.1363941,0.140478678,0.141710567,0.126547763,0.132644875,8737000,8495000,8840000,7730723.378,9012138.247,374000,382000,837000,868854.6843,1042489.335,6735,48,13,90,*,,NHS SUNDERLAND CCG,5415,80,500,9,130,2,100,1,75,1,70,1,695,12,1710,31,1495,27,635,11,*
NHS County Durham CCG,NHS County Durham CCG,Match,84H,101468,101979,North East and Yorkshire,7860,7715,136178000,139472420,146620965.6,155814741.9,167513540.4,0.165916247,0.171749258,0.171313793,0.158878079,0.170806877,7199000,7712405.8,8229802.148,8926509.815,9864028.713,585000,585773.0737,745150.6759,910515.5342,1520320.467,9940,37,29,1720,20,,NHS SURREY HEARTLANDS CCG,17030,51,1795,10,450,2,420,2,255,1,250,1,890,5,4890,28,6150,36,1925,11,10
NHS Kent and Medway CCG,NHS Kent and Medway CCG,Match,91Q,408818,412012,South East,15665,17465,261858712,270449710.4,289687946.7,304220949.5,318437091.5,0.113403471,0.115339958,0.116719293,0.105072746,0.10998276,20594448.17,21002703.6,20984694.22,23884059.48,23306425.53,971185,950698.575,1035606.263,1355684.4,1612896.35,27320,43,46,972,13,,NHS TAMESIDE AND GLOSSOP CCG,3825,40,685,17,110,2,75,1,65,1,30,0,180,4,1005,26,1340,35,335,8,*
NHS Surrey Heartlands CCG,NHS Surrey Heartlands CCG,Match,92A,233286,234575,South East,7170,10530,132453674.9,146716156.2,158137463.8,176675000,184153346.5,0.110455593,0.113066537,0.115559886,0.108500359,0.113092991,10239714.32,14290791.03,15296488.05,14834000,16512106.16,1559525.648,1122734.292,1201995.721,1386000,1419445.167,17030,51,28,814,11,,NHS TEES VALLEY CCG,12275,30,3630,29,580,4,360,2,255,2,180,1,600,4,4435,36,1280,10,955,7,*
"NHS Bath and North East Somerset, Swindon and Wiltshire CCG","NHS Bath and North East Somerset, Swindon and Wiltshire CCG",Match,92G,194237,195342,South West,4925,5250,120810000,130455740.4,143651857.9,152640872.6,163452784.7,0.109307874,0.117161117,0.121903536,0.11574207,0.123940353,10724000,11632616.46,12103778.11,13606189.29,16569898.91,683000,455570,462044,472390.0989,817833.1219,9460,47,33,2641,27,,NHS THURROCK CCG,2095,17,705,33,95,4,35,1,25,1,20,0,25,1,650,31,460,22,80,3,*
NHS North Central London CCG,NHS North Central London CCG,Match,93C,332659,335865,London,11880,12335,308571247.1,334275471.5,341642882.8,353511527.2,367510594.2,0.156053655,0.1681018,0.162486069,0.138003555,0.1434685,23433489.91,31390507.86,35129335.07,37879838,40246409.96,1878439.115,1833006.455,2013668.867,2155838.703,2396157.897,14360,42,25,773,3,,NHS TRAFFORD CCG,3880,42,310,7,40,0,25,0,15,0,15,0,95,2,1250,32,1790,46,345,8,*
NHS East Sussex CCG,NHS East Sussex CCG,Match,97R,106338,106575,South East,3065,3665,84573022.94,85590023.85,93635069.91,99517589.76,109067155.6,0.110819352,0.112336871,0.116284355,0.094274393,0.103320829,6178720.007,5465791.65,5798310.219,7460723.383,7999987.919,35000,117582,119000,548975.7337,465337.8405,5870,39,5,3139,32,,NHS VALE OF YORK CCG,4420,29,1200,27,165,3,140,3,120,2,85,1,170,3,980,22,655,14,910,20,*
NHS North East London CCG,NHS North East London CCG,Match,A3A8R,488757,492913,London,13880,17300,330934088.3,341017822.8,359569621.5,379297813.6,399934607.2,0.125825102,0.132141752,0.131065431,0.117792693,0.124201545,28388400.61,27438257.45,33023335.85,37567449.76,38880593.25,1178819,1169988.279,1020617.29,1533563.716,2494298.372,19895,31,25,3518,31,,NHS WAKEFIELD CCG,6785,24,2540,37,250,3,160,2,140,2,120,1,280,4,1465,21,1135,16,685,10,5
NHS North West London CCG,NHS North West London CCG,Match,W2U3Z,473289,477394,London,11805,13580,417853530,436392831.1,455444257.1,488091604,517696832,0.125943865,0.153573738,0.152363974,0.134397978,0.142549896,16562783.57,33387480.88,35879957.15,39369751.72,41302176,998390.1838,1053612.092,1300415.512,1776018.944,1880578.772,16310,44,34,65,1,,NHS WARRINGTON CCG,3205,22,860,26,105,3,60,1,45,1,20,0,80,2,1495,46,120,3,420,13,*
